id,time,director,star,cost
4435,"2 hours, 14 minutes",Julie Taymor,"Evan Rachel Wood, Jim Sturgess","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
4436,"1 hour, 57 minutes",Roberto Benigni,"Roberto Benigni, Nicoletta Braschi","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
4437, 107 minutes ,Christopher Cain,Emilio Estevez,$5.00 
4438, 433 minutes ,Michael Curtiz,Doris Day,$9.96 
4439,,Various,Various,$11.79 
4440, 150 minutes ,Robert Louis Stevenson,Marlon Brando,$7.50 
4441,"1 hour, 29 minutes",Pascal Bergamin,"Cavan Clerkin, Abigail Blackmore","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4442, 111 minutes ,Robert Lorenz,Clint Eastwood,$4.99 
4443, 100 minutes ,John Lyde,Edward Herrmann,$12.28 
4444, 113 minutes ,Stephen Hopkins,Michael Douglas,$5.91 
4445,"1 hour, 54 minutes",Mikael Håfström,"Anthony Hopkins, Colin O'Donoghue","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
4446, 1630 minutes ,Alfred Hitchcock,Robert Cummings,$59.96 
4447, 92 minutes ,Kristian Levring,Mads Mikkelsen,$8.99 
4448, 102 minutes ,Dr. David Evans,Michael Joiner,$9.67 
4449, 143 minutes ,Akira Kurosawa,Takashi Shimura,$27.99 
4450, 121 minutes ,Various,Various,$7.55 
4451,"1 hour, 16 minutes",Lee Ji-seung,"Bae Seong-woo,Taekwang Hwang","Buy SD $5.99,"
4452, 124 minutes ,Robert Redford,Judd Hirsch,$7.50 
4453,"1 hour, 30 minutes",Jason Bateman,"Jason Bateman, Kathryn Hahn","Buy HD $12.99,Buy SD $9.99,"
4454,"2 hours, 1 minute",Bruce A. Evans,"Kevin Costner, Demi Moore","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4455,"1 hour, 35 minutes",Don McKellar,"Don McKellar, Sandra Oh","Rent SD $2.99,Buy SD $6.99,"
4456,"1 hour, 25 minutes",Colette Bothof,"Sigrid ten Napel,Jade Olieberg","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $9.99,"
4457, 329 minutes ,Various,Various,$9.75 
4458,"1 hour, 53 minutes",Crisaldo Pablo,"Andoy Ranay, Paulo Gabriel","Buy SD $9.99,"
4459, 125 minutes ,Ben Affleck,Ben Affleck,$4.75 
4460, 133 minutes ,Christian Duguay,Alessandro Preziosi,$21.70 
4461, 107 minutes ,Tyler Perry,Tyler Perry,$5.99 
4462, 129 minutes ,Joshua Michael Stern,Ashton Kutcher,$8.17 
4463, 107 minutes ,Julian Jarrold,Chiwetel Ejiofor,$12.02 
4464, 111 minutes ,Lawrence Kasidan,Meg Ryan,$6.55 
4465, 182 minutes ,Anthony Mann,Charlton Heston,$14.69 
4466,"2 hours, 6 minutes",Oliver Stone,"Charlie Sheen, Tamara Tunie","Rent HD $3.99,Rent SD $2.99,Buy HD $7.88,Buy SD $7.88,"
4467, 121 minutes ,Various,Various,$9.65 
4468,"1 hour, 33 minutes",Simon West,"Jason Statham, Ben Foster","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4469,"1 hour, 59 minutes",James Mangold,"Meg Ryan, Hugh Jackman","Rent HD $3.99,Rent SD $2.99,Buy HD $16.99,Buy SD $15.99,"
4470,"1 hour, 48 minutes",Doug Liman,"Naomi Watts, Sonya Davison","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
4471,"1 hour, 53 minutes",Marc Forster,"Will Ferrell, William Dick","Buy HD $12.99,Buy SD $9.99,"
4472,"1 hour, 32 minutes",Aubrey Nealon,"Kris Lemche, Michael Hogan","Buy SD $9.99,"
4473, 104 minutes ,Various,Various,$5.00 
4474, 111 minutes ,Andrew V. McLaglen,John Wayne,$4.76 
4475, 485 minutes ,Ernst Lubitsch,James Stewart,$9.26 
4476,"1 hour, 52 minutes",Joe Wright,"Saoirse Ronan, Eric Bana","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4477,"1 hour, 53 minutes",Chris Weitz,"Nicole Kidman, Daniel Craig","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4478, 107 minutes ,Bruce Beresford,Edward Woodward,$26.19 
4479,"1 hour, 18 minutes",Glenn Aveni,"Gordon Cotten, John Entwistle","Buy SD $9.99,"
4480,"1 hour, 39 minutes",Michael Powell,"Godfrey Tearle, Eric Portman","Buy SD $5.99,"
4481, 132 minutes ,William Friedkin,Ellen McRae,$29.99 
4482,"1 hour, 34 minutes",Buzz Kulik,"Ricky Schroder, Jon DeVries","Buy SD $9.99,"
4483,"1 hour, 21 minutes",Neil Coombs,"Grace Kosaka, Andrew Kraulis",
4484,"1 hour, 55 minutes",Paul Schrader,"Nick Nolte, Brigid Tierney","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
4485, 120 minutes ,Fred Zinnemann,Leo McKern,$9.55 
4486, 114 minutes ,Ron Underwood,Billy Crystal,$7.99 
4487, 124 minutes ,Roger Michell,Julia Roberts,$9.11 
4488, 84 minutes ,Alain Resnais,Claude Rich,$19.99 
4489,"2 hours, 16 minutes",James Mangold,"Joaquin Phoenix, Reese Witherspoon","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4490, 114 minutes ,Peter Yates,Steve McQueen,$5.00 
4491, 125 minutes ,Various,Various,$8.73 
4492,"2 hours, 3 minutes",Lasse Hallström,"Helen Mirren, Om Puri","Buy HD $19.99,Buy SD $14.99,"
4493,"2 hours, 35 minutes",Edward Zwick,"Ken Watanabe, Tom Cruise","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4494,"1 hour, 43 minutes",Guy Ritchie,"Benicio Del Toro, Dennis Farina","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
4495,"1 hour, 45 minutes",Henri Charr,"Andoni Zorbas, Erika Cortes","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
4496, 123 minutes ,John Ford,Henry Fonda,$9.23 
4497,"2 hours, 10 minutes",Shion Sono,"Jun Kunimura, Fumi Nikaidô","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4498,"2 hours, 1 minute",James L. Brooks,"Reese Witherspoon, Paul Rudd","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
4499, 92 minutes ,Brian De Palma,Paul Williams,$17.49 
4500, 139 minutes ,Roland Emmerich,Maria Pitillo,$9.99 
4501, 1 minutes ,Guy Ritchie,Robert Downey Jr.,$5.00 
4502, 75 minutes ,Elliott Nugent,Bob Hope,$14.98 
4503, 187 minutes ,Various,Various,$12.45 
4504, 115 minutes ,Greg Berlanti,Katherine Heigl,$3.99 
4505, 112 minutes ,Various,Various,$4.99 
4506, 108 minutes ,Alan Alda,Carol Burnett,$9.99 
4507,"2 hours, 59 minutes",Subhash Ghai,"Jakkei Shrof,Hritik Roshan","Buy SD $4.99,"
4508,"1 hour, 0 minutes",Leo Leigh,Marty Reisman,"Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $7.99,"
4509,"1 hour, 39 minutes",Eitan Tzur,"Suhel Haddad, Rami Heuberger","Buy SD $9.99,"
4510,"1 hour, 44 minutes",Jefferson Moneo,"Nadia Litz, Justin Kelly","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4511,"1 hour, 52 minutes",Robert Lorenz,"Clint Eastwood, Chelcie Ross","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4512, 263 minutes ,Justin Lin,Dwayne Johnson,$8.00 
4513, 113 minutes ,George Cukor,James Stewart,$8.16 
4514, 120 minutes ,Seth Gordon,Reese Witherspoon,$9.99 
4515,"1 hour, 25 minutes",Tarique Qayumi,"Tajana Prka, Bobby Naderi","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4516,"1 hour, 57 minutes",Bob Gale,"Matthew Edison, Paul Brogren","Buy SD $3.99,"
4517, 100 minutes ,Daniel Petrie,James Woods,$13.51 
4518,"1 hour, 33 minutes",Nicole Holofcener,"Julia Louis-Dreyfus, Lennie Loftin","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4519,"2 hours, 6 minutes",Jonathan Demme,"Tom Hanks, Denzel Washington","Buy HD $12.99,Buy SD $9.99,"
4520,59 minutes,Steve Miller,"Melissa Hollet,Charles Thompsen","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4521,"1 hour, 41 minutes",Stanley M. Brooks,"Abigail Breslin, Georgie Henley","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4522, 133 minutes ,Paul Haggis,Russell Crowe,$5.00 
4523,"1 hour, 47 minutes",Louis Leterrier,"Sam Worthington, Liam Neeson","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4524,"1 hour, 39 minutes",Joel Coen,"William H. Macy, Steve Buscemi","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4525, 128 minutes ,Henry King,Gordon MacRae,$8.31 
4526, 138 minutes ,Christopher Spencer,Darwin Shaw,$22.50 
4527, 119 minutes ,Albert Hughes,Larenz Tate,$4.99 
4528, 238 minutes ,Carl Rinsch,Keanu Reeves,$10.45 
4529, 95 minutes ,John Kent Harrison,Anna Paquin,$10.79 
4530, 109 minutes ,Ted Demme,Eddie Murphy,$4.89 
4531, 125 minutes ,Michael Apted,Sissy Spacek,$7.50 
4532, 111 minutes ,John Irvin,Fred Astaire,$9.93 
4533,"1 hour, 47 minutes",Rick Bieber,"Waylon Payne, Ali Larter","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
4534,"1 hour, 47 minutes",Stanley J. Orzel,"Jennifer Birmingham Lee, Candy Cheung","Rent SD $2.99,Buy SD $9.99,"
4535,"2 hours, 21 minutes",Raoul Peck,"Idris Elba, Carole Karemera","Buy HD $9.99,Buy SD $7.99,"
4536,"1 hour, 28 minutes",Leslye Headland,"Kirsten Dunst, Rebel Wilson","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
4537,"1 hour, 45 minutes",Alan Poul,"Jennifer Lopez, Alex O'Loughlin","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4538, 93 minutes ,Joe Henline,Garry Nation,$15.62 
4539,"1 hour, 27 minutes",Jonathan Wright,"Alicia Witt, Mark Wiebe","Buy HD $7.99,Buy SD $5.99,"
4540,"1 hour, 10 minutes",The Paley Center for Media,"Katey Sagal,Dayton Callie","Buy SD $7.99,"
4541, 105 minutes ,Juan Antonio Bayona,Belén Rueda,$4.73 
4542,"1 hour, 32 minutes",Robert Fernandez,"Mike McFarland,Bob Magruder","Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
4543,"1 hour, 34 minutes",Adam Reid,"Sabrina Lloyd, James Urbaniak","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4544,"4 hours, 3 minutes",Kenneth Branagh,"Riz Abbasi, Richard Attenborough","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4545,"1 hour, 49 minutes",Miguel Arteta,"Steve Carell, Jennifer Garner","Buy HD $19.99,Buy SD $14.99,"
4546, 137 minutes ,Stanley Kubrick,Malcolm McDowell,$6.99 
4547, 119 minutes ,John Wells,Meryl Streep,$6.99 
4548, 117 minutes ,Tyler Perry,,$9.96 
4549,"1 hour, 51 minutes",Rupert Wyatt,"Mark Wahlberg, George Kennedy","Buy HD $14.99,Buy SD $12.99,"
4550, 158 minutes ,Various,Various,$8.69 
4551, 518 minutes ,William Wyler,Bette Davis,$9.96 
4552, 83 minutes ,Ingmar Bergman,Liv Ullmann,$22.82 
4553,"1 hour, 29 minutes",Michael Pressman,"Paige Turco, David Warner","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4554, 143 minutes ,Fred Zinnemann,Edward Fox,$9.99 
4555, 118 minutes ,Len Wiseman,Colin Farrell,$9.99 
4556,"1 hour, 37 minutes",Ethan Coen,"George Clooney, Frances McDormand","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4557, 92 minutes ,Jean Renoir,Zachary Scott,$26.96 
4558,"2 hours, 2 minutes",William Friedkin,"Ellen Burstyn, Max von Sydow","Rent HD $3.99,Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
4559, 103 minutes ,Ate de Jong,Phoebe Cates,$95.99 
4560,"1 hour, 20 minutes",Christopher Saint Booth,"Keith Age, Betsy Bellanger","Buy SD $9.99,"
4561,"1 hour, 44 minutes",Jessica Bendinger,"Jeff Bridges, Missy Peregrym","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4562, 179 minutes ,Abdellatif Kechiche,Léa Seydoux,$15.29 
4563,"1 hour, 45 minutes",Phillip Guzman,"Mick Rossi, Robert Miano","Rent SD $1.99,Buy HD $7.99,Buy SD $5.99,"
4564, 158 minutes ,Roland Emmerich,John Cusack,$5.00 
4565, 208 minutes ,Wolfgang Petersen,Herbert Gronemeyer,$9.63 
4566, 128 minutes ,Alan Parker,Gene Hackman,$15.19 
4567,"1 hour, 42 minutes",Monti Parungao,"Ryan Dungo, Dennis Torres","Buy SD $9.99,"
4568,"1 hour, 55 minutes",Kathryn Bigelow,"Ciarán Hinds, Richard Donat","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
4569, 96 minutes ,Robert Greenwald,Olivia Newton-John,$9.95 
4570,"1 hour, 58 minutes",Ridley Scott,"Freddie Highmore, Albert Finney","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
4571,"2 hours, 9 minutes",Ridley Scott,"Leonardo DiCaprio, Russell Crowe","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4572, 106 minutes ,Arthur Penn,Anne Bancroft,$19.99 
4573, 835 minutes ,James Hogan,Randolph Scott,$8.99 
4574,"1 hour, 28 minutes",Charles Guard,"Emily Browning, Arielle Kebbel","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $6.99,"
4575,"1 hour, 32 minutes",Jake Wilson,"Sas Goldberg,Jake Wilson","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $9.99,"
4576,"1 hour, 51 minutes",Patricia Riggen,"Adrian Alonso, Kate del Castillo","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $13.99,"
4577,"1 hour, 24 minutes",Conor Horgan,"Ciarán McMenamin, Alex Reid","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
4578, 105 minutes ,Bruce Beresford,Tommy Lee Jones,$4.58 
4579, 100 minutes ,Matt Russell,Robert Duvall,$4.65 
4580, 101 minutes ,David McNally,Piper Perabo,$4.99 
4581,29 minutes,Rick Manning,"Andy Chase, Stephen Croce","Buy SD $9.99,"
4582,"1 hour, 34 minutes",Woody Allen,"Woody Allen, Diane Keaton","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4583, 114 minutes ,Martin Scorsese,Cybill Shepherd,$18.39 
4584, 127 minutes ,Dominic Sena,Nicolas Cage,$4.99 
4585, 130 minutes ,Andrew Davis,Harrison Ford,$6.99 
4586,"1 hour, 50 minutes",John Boorman,"Jon Voight, Burt Reynolds","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4587,"1 hour, 47 minutes",Jeffery Peterson,"Dimitria Alderidge, Paul Archer","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
4588, 120 minutes ,Brian Baugh,Randy Wayne,$9.91 
4589, 775 minutes ,Jacques Rivette,Jean-Pierre Leaud,$89.96 
4590, 130 minutes ,Terry Gilliam,Brad Pitt,$7.92 
4591,"1 hour, 14 minutes",Yair Hochner,"Daniel Efrat, Dana Balalti","Buy SD $9.99,"
4592,24 minutes,Don Medford,"Leslie Nielsen, William Redfield","Buy SD $4.99,"
4593,"1 hour, 45 minutes",Robert Gordon,"Guy Stockwell, Robert Fuller","Buy SD $9.99,"
4594,"1 hour, 30 minutes",Michael Madison,"Michael Madison, Jeanette May Steiner","Rent SD $1.99,Buy HD $9.99,Buy SD $7.99,"
4595,"1 hour, 54 minutes",Adrian Lyne,"Tim Robbins, Elizabeth Peña","Buy HD $6.99,Buy SD $6.99,"
4596,11 minutes,Wes Anderson,"Ralph Fiennes, F. Murray Abraham","Buy SD Free,"
4597, 85 minutes ,Fred Zinnemann,Gary Cooper,$8.99 
4598, 126 minutes ,Leo McCarey,Bing Crosby,$12.74 
4599,"1 hour, 30 minutes",William K. Howard,"Flora Robson, Raymond Massey","Rent HD $2.99,Rent SD $1.99,Buy HD $9.99,Buy SD $7.99,"
4600, 119 minutes ,Orson Welles,Orson Welles,$26.49 
4601,"2 hours, 0 minutes",Wally Pfister,"Johnny Depp, Rebecca Hall","Buy HD $14.99,Buy SD $9.99,"
4602, 84 minutes ,Various,Various,$5.00 
4603, 1785 minutes ,Elia Kazan,Montgomery Clift,$27.87 
4604, 150 minutes ,Mike Leigh,Timothy Spall,$15.49 
4605,"1 hour, 42 minutes",Cathy Randall,"Danielle Catanzariti, Cassandra Jinman","Rent SD $2.99,Buy HD $14.99,Buy SD $7.99,"
4606,"1 hour, 20 minutes",Jay Gerren,"Kelsey Tanaka, Ryan N. Taylor","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
4607, 99 minutes ,Bernard Rose,Kasi Lemmons,$9.95 
4608, 113 minutes ,Garrett Batty,Henry Adofo,$19.98 
4609, 103 minutes ,Anne Fletcher,Channing Tatum,$4.99 
4610,"1 hour, 47 minutes",Franck Buchter,"Benjamin Bellecour, Caroline Bourg","Buy SD $9.99,"
4611,"2 hours, 4 minutes",Adrian Lyne,"Diane Lane, Erik Per Sullivan","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4612, 236 minutes ,John M. Stahl,Claudette Colbert,$9.61 
4613,"1 hour, 8 minutes",Steven Vasquez,"Laura Reilly, Michael Brent","Buy SD $14.99,"
4614, 92 minutes ,Wayne Wang,Tom Hulce,$14.49 
4615, 105 minutes ,Carol Reed,Joseph Cotten,$13.96 
4616,"1 hour, 14 minutes",William Nigh,"Boris Karloff, Grant Withers","Buy SD $7.98,"
4617, 137 minutes ,John Ford,Ward Bond,$10.19 
4618,"1 hour, 23 minutes",Gabriel Cowan,"Wes Bentley, Vincent Piazza","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4619,"1 hour, 43 minutes",Ron Oliver,"Lorenzo Lamas, Leah Cairns","Rent SD $2.00,Buy SD $4.99,"
4620, 90 minutes ,Gerald Potterton,,$14.41 
4621, 117 minutes ,Ridley Scott,Russell Crowe,$6.28 
4622,"1 hour, 56 minutes",Peter Hyams,"Roy Scheider, John Lithgow","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4623,11 minutes,J.A. Bayona,"Naomi Watts, Ewan McGregor","Buy SD Free,"
4624, 153 minutes ,Quentin Tarantino,Brad Pitt,$4.68 
4625, 106 minutes ,Andrew V. McLaglen,James Stewart,$6.15 
4626,"1 hour, 36 minutes",Sebastian Gutierrez,"Carla Gugino, Adrianne Palicki","Rent SD $1.99,Buy HD $14.99,Buy SD $3.99,"
4627,"2 hours, 15 minutes",Aaron J. Wiederspahn,"David Strathairn, Ian Somerhalder","Buy SD $7.99,"
4628, 134 minutes ,Richard Brooks,Robert Blake,$27.99 
4629, 125 minutes ,Jon Favreau,Jr. Robert Downey,$16.40 
4630,"1 hour, 35 minutes",Tom Gormican,"Zac Efron, Miles Teller","Buy HD $12.99,Buy SD $9.99,"
4631,"2 hours, 3 minutes",Joe Wright,"Saoirse Ronan, Ailidh Mackay","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4632,"1 hour, 39 minutes",Joel Lamangan,"Jean Garcia,Emilio Garcia","Buy SD $9.99,"
4634, 148 minutes ,Paul Thomas Anderson,Joaquin Phoenix,$24.99 
4635,"1 hour, 34 minutes",Danny Boyle,"James Franco, Kate Mara","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4636, 76 minutes ,Jaromil Jire,Jaroslava Schallerová,$22.49 
4637,"1 hour, 40 minutes",James Manera,"Kristoffer Polaha, Laura Regan","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $14.99,"
4638,"2 hours, 3 minutes",Damián Szifrón,"Darío Grandinetti, María Marull","Buy HD $14.99,Buy SD $12.99,"
4639, 98 minutes ,Various,Various,$31.82 
4640, 100 minutes ,Paul Wendkos,Elizabeth Montgomery,$14.38 
4641,"1 hour, 30 minutes",Lyman Dayton,"Dave Buzzotta, Stephanie Dicker","Buy SD $14.99,"
4642,"2 hours, 23 minutes",Robert Zemeckis,"Tom Hanks, Rebecca Williams","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
4643, 460 minutes ,George Sidney,Gene Kelly,$11.79 
4644,"1 hour, 59 minutes",Vittorio De Sica,"Sophia Loren, Marcello Mastroianni","Buy SD $9.99,"
4645, 118 minutes ,Don Coscarelli,Marc Singer,$9.03 
4646,"1 hour, 21 minutes",Mark Moran,"Mehran Haq, Libertad Green","Buy SD $2.99,"
4647,"2 hours, 0 minutes",Eric Bress,"Ashton Kutcher, Melora Walters","Buy HD $8.99,Buy SD $6.99,"
4648, 363 minutes ,Various,Various,$15.00 
4649,"1 hour, 34 minutes",Andrew Kenneth Gay,"Chris Worley, Lauren Brown","Rent HD $2.99,Rent SD $1.99,Buy HD $7.99,Buy SD $4.99,"
4650,"1 hour, 54 minutes",Vincent Ward,"Robin Williams, Cuba Gooding Jr.","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4651,"1 hour, 20 minutes",Brian McNulty,"A.J. Khan,Darian Caine","Rent SD $3.99,Buy HD $19.99,Buy SD $14.99,"
4652,"1 hour, 38 minutes",Jefferson Moore,"Christina Karis, Jefferson Moore","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
4653,"1 hour, 52 minutes",Oleg Stepchenko,"Aleksey Kravchenko, Aleksandr Karpov","Buy SD $9.99,"
4654,"1 hour, 56 minutes",Daniel Espinosa,"Denzel Washington, Ryan Reynolds","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
4655,"4 hours, 15 minutes",Ron Maxwell,"Tom Berenger, Martin Sheen","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4656,"1 hour, 28 minutes",Tim Whelan,"Randolph Scott, Forrest Tucker","Buy SD $3.75,"
4657,"1 hour, 52 minutes",Trish Sie,"Ryan Guzman, Briana Evigan","Buy HD $14.99,Buy SD $12.99,"
4658,"2 hours, 27 minutes",Steven Spielberg,"Jeremy Irvine, Peter Mullan","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
4659, 164 minutes ,Dan Curtis,Darren McGavin,$29.98 
4660,"1 hour, 38 minutes",Stephen Frears,"Judi Dench, Steve Coogan","Buy HD $7.99,Buy SD $7.99,"
4661,"1 hour, 30 minutes",Hugo Fregonese,"Gary Cooper, Barbara Stanwyck","Buy SD $9.99,"
4662, 62 minutes ,Tod Browning,Wallace Ford,$11.60 
4663, 112 minutes ,Luke Greenfield,Kate Hudson,$4.71 
4664, 135 minutes ,Clint Eastwood,Clint Eastwood,$3.74 
4665,"1 hour, 29 minutes",Greg Swartz,"Ernest Borgnine, Piper Laurie","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
4666,"1 hour, 32 minutes",Karin Albou,"Fanny Valette, Elsa Zylberstein","Buy SD $9.99,"
4667,"1 hour, 6 minutes",The Paley Center for Media,"Gabriel Macht,Patrick J. Adams","Buy SD $7.99,"
4668, 132 minutes ,Steven Soderbergh,Julia Roberts,$7.99 
4669,"1 hour, 33 minutes",William A. Graham,"Meredith Baxter, Swoosie Kurtz","Buy SD $5.96,"
4670, 540 minutes ,Niels Arden Oplev,Noomi Rapace,$25.43 
4671,"1 hour, 38 minutes",Jennifer Chambers Lynch,"Caroline Aaron, Hugh Dillon","Rent HD $3.99,Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
4672, 110 minutes ,Tyler Perry,Tyler Perry,$5.00 
4673, 91 minutes ,Anthony Spinelli,Annette Haven,$16.42 
4674, 112 minutes ,Georg Wilhelm Pabst,Louise Brooks,$19.99 
4675,"1 hour, 28 minutes",Nicolae Margineau,"Maria Ploae,Dorina Lazar","Rent SD $2.99,Buy SD $9.99,"
4676, 113 minutes ,Francis Ford Coppola,Robin Williams,$4.95 
4677,"1 hour, 29 minutes",Molly Green,"Noël Wells, Matt Mider","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4678,,Gary Fleder,Morgan Freeman,$9.69 
4679,"1 hour, 42 minutes",Paul Weiland,"Patrick Dempsey, Michelle Monaghan","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4680, 105 minutes ,John McTiernan,Sean Connery,$5.51 
4681, 108 minutes ,Michel Gondry,Jim Carrey,$9.61 
4682,"1 hour, 48 minutes",Anders Thomas Jensen,"Søren Pilmark, Ulrich Thomsen","Buy SD $9.99,"
4683,"1 hour, 50 minutes",Ron Howard,"Tom Hanks, Daryl Hannah","Rent HD $3.99,Rent SD $2.99,"
4684,"1 hour, 12 minutes",John N. Carter,"David Broadnax,Rita Jenrette","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
4685, 109 minutes ,Maggie Greenwald,Janet McTeer,$9.59 
4686, 118 minutes ,James Mangold,John Cusack,$4.88 
4687, 158 minutes ,Various,Various,$4.00 
4688,"1 hour, 42 minutes",Zach Braff,"Zach Braff, Kenneth Graymez","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4689, 119 minutes ,Tony Kaye,Edward Norton,$4.99 
4690,"1 hour, 11 minutes",Rémi Lange,"Karim Tarek, Riyad Echahi","Buy SD $9.99,"
4691, 110 minutes ,Alfonso Cuaron,Clive Owen,$9.49 
4692,"1 hour, 50 minutes",Ken Cameron,"Jeremy Sims, Susie Porter","Buy SD $5.99,"
4693, 127 minutes ,David Fincher,Brad Pitt,$3.99 
4694,"1 hour, 31 minutes",Robert Pirosh,"Van Johnson, Lane Nakano","Rent SD $2.99,Buy SD $9.99,"
4695, 80 minutes ,Alfred Hitchcock,James Stewart,$7.99 
4696, 129 minutes ,John Ford,Henry Fonda,$18.79 
4697,"1 hour, 33 minutes",Sherry White,"Mary Walsh, Meghan Greeley","Buy SD $9.99,"
4698,"1 hour, 34 minutes",Ryan Little,"Shiri Appleby, Nick Zano","Rent HD $4.99,Rent SD $3.99,Buy HD $19.99,Buy SD $14.99,"
4699,"1 hour, 37 minutes",Claudia Llosa,"Jennifer Connelly,Cillian Murphy","Buy HD $14.99,Buy SD $13.99,"
4700,"1 hour, 59 minutes",Michael Apted,"Ioan Gruffudd, Romola Garai","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4701, 104 minutes ,William Wyler,Merle Oberon,$9.79 
